sku,allow_large_letter,packed_weight_g,dim_h_mm,dim_w_mm,dim_d_mm
SAC-355-STR-P5,FALSE,2150.0,,,
HMP-SML-NRM-P1,FALSE,999.0,,,
WFR-100-MCH-P12,FALSE,2200.0,,,
BRB-030-LIM-P6,FALSE,230.0,,,
COK-145-ALD-P3,FALSE,600.0,,,
CHK-085-MKM-P15,FALSE,1600.0,,,
COK-145-ALD-P2,FALSE,400.0,,,
COK-128-WHT-P4,FALSE,900.0,,,
GMY-075-COL-P1,TRUE,120.0,,,
CHK-075-DKS-P15,FALSE,1400.0,,,
COK-135-GOJ-P7,FALSE,1350.0,,,
SAC-350-BLB-P4,FALSE,1900.0,,,
BRB-030-YAP-P32,FALSE,1100.0,,,
GMY-075-BER-P16,FALSE,1420.0,,,
BRB-030-CRN-P4,TRUE,170.0,,,
COK-128-BRN-P5,FALSE,900.0,,,
BRB-030-YAP-P6,FALSE,1300.0,,,
COK-135-HZL-P4,TRUE,750.0,,,
CHK-075-CAD-P3,TRUE,275.0,,,
WFR-030-CHK-P24,FALSE,980.0,,,
CHK-030-BBL-P1,TRUE,80.0,,,
COK-135-GOJ-P1,FALSE,260.0,,,
SPD-350-DUO-P2,FALSE,1200.0,,,
WFR-160-CHK-P2,FALSE,400.0,,,
SAC-350-BLB-P3,FALSE,1400.0,,,
SPD-350-DUO-P4,FALSE,2400.0,,,
WFR-100-MCH-P6,FALSE,800.0,,,
CHK-075-DKS-P4,TRUE,360.0,,,
BRB-030-YAP-P12,FALSE,800.0,,,
BRB-030-YAC-P8,FALSE,290.0,,,
BRB-030-YCH-P2,FALSE,110.0,,,
BRB-030-YST-P4,FALSE,170.0,,,
BRB-030-YAC-P1,FALSE,80.0,,,
CHK-085-DKM-P15,FALSE,1600.0,,,
BRB-030-YAC-P4,FALSE,170.0,,,
BRB-030-HZL-P14,TRUE,600.0,,,
CHK-075-HZS-P15,FALSE,1400.0,,,
CHK-075-ADS-P15,FALSE,1400.0,,,
CHK-075-DKS-P6,TRUE,520.0,,,
CHK-075-ADS-P4,TRUE,360.0,,,
BRB-030-YAC-P2,FALSE,110.0,,,
CHK-075-ADS-P6,TRUE,520.0,,,
CHK-075-HZS-P6,TRUE,520.0,,,
BRB-030-YCH-P4,TRUE,170.0,,,
SWT-075-MNT-P8,FALSE,600.0,,,
SWT-075-LMN-P5,FALSE,500.0,,,
CHK-075-WTS-P3,TRUE,280.0,,,
CHK-085-HZM-P15,FALSE,1600.0,,,
CHK-075-CPS-P15,FALSE,1400.0,,,
CHK-075-DKS-P2,TRUE,200.0,,,
BRB-030-YST-P14,TRUE,500.0,,,
WFR-100-MCH-P4,FALSE,600.0,,,
BRB-030-CRN-P28,FALSE,890.0,,,
COK-135-GOJ-P2,FALSE,400.0,,,
COK-135-HZL-P5,FALSE,900.0,,,
CHK-040-MCP-P6,TRUE,280.0,,,
BRB-030-YAC-P12,TRUE,410.0,,,
BRB-030-LIM-P1,TRUE,50.0,,,
BRB-030-APC-P1,TRUE,80.0,,,
CAK-200-ORG-P4,FALSE,980.0,,,
WFR-100-MCH-P2,FALSE,300.0,,,
WFR-160-CCN-P2,FALSE,450.0,,,
BRB-030-YFF-P10,TRUE,400.0,,,
SAC-350-BLB-P5,FALSE,2150.0,,,
COK-130-CHP-P5,FALSE,900.0,,,
COK-135-CRN-P5,FALSE,900.0,,,
CHK-085-DKM-P2,TRUE,230.0,,,
COK-150-CCN-P1,FALSE,260.0,,,
BRB-030-YST-P12,TRUE,410.0,,,
SPD-350-DUO-P3,FALSE,1800.0,,,
CHK-075-DKS-P3,TRUE,280.0,,,
SWT-075-LMN-P4,TRUE,420.0,,,
CAK-450-APL-P2,FALSE,1100.0,,,
BRB-030-YAP-P2,TRUE,100.0,,,
SWT-075-CAP-P4,TRUE,420.0,,,
BRB-030-YFF-P6,FALSE,230.0,,,
CHK-040-PMC-P6,TRUE,280.0,,,
BRB-030-CRN-P14,TRUE,500.0,,,
BRB-030-YCH-P6,TRUE,230.0,,,
COK-150-CCN-P6,FALSE,1200.0,,,
BRB-030-CRN-P1,TRUE,80.0,,,
BRB-030-YFF-P1,FALSE,80.0,,,
COK-150-CCN-P5,FALSE,900.0,,,
SPD-350-DUO-P6,FALSE,3500.0,,,
